**2***7**
9*******6
*7*9*5*4*
**48*21**
*9*****8*
**86*74**
*5*3*8*7*
2*******5
**7***6**

Cannot be solved using only naked and hidden deduce.

Need linked L2, plus naked and/or hidden deduce.

--guess=false --deduce=false --linked-deduce=2 --naked-deduce=2
--guess=false --deduce=false --linked-deduce=2 --hidden-deduce=1

4 6 2  1 8 3  7 5 9
9 1 5  2 7 4  8 3 6
8 7 3  9 6 5  2 4 1

5 3 4  8 9 2  1 6 7
7 9 6  4 3 1  5 8 2
1 2 8  6 5 7  4 9 3

6 5 1  3 2 8  9 7 4
2 8 9  7 4 6  3 1 5
3 4 7  5 1 9  6 2 8
